RT,Area,Metabolite,Confidence,SampleID
21.3768,628102,[26519] tetratriacontane [29.185],0.8799,M5-6
22.9156,623955,"2-O-Glycerol-à-d-galactopyranoside, hexa-TMS",0.5403,M5-6
25.3864,617650,1-Chloromethyl-1-hexadecyloxy-1-silacyclohexane,0.501,M5-6
8.1599,560222,MALEIC ACID,0.8758,M5-6
10.9773,557123,"Pentonic acid, 3-deoxy-2,4,5-tris-O-(trimethylsilyl)-, trimethylsilyl ester",0.7262,M5-6
7.9056,542930,[1004] phosphoric acid [9.966],0.8598,M5-6
19.9943,537470,Eicosane,0.8818,M5-6
12.1344,532323,"2-Keto-l-gluconic acid, penta(O-trimethylsilyl)-",0.7535,M5-6
7.807,529161,[1004] phosphoric acid [9.966],0.8538,M5-6
16.8542,526265,"2-O-Glycerol-à-d-galactopyranoside, hexa-TMS",0.913,M5-6
19.5189,525067,"6H,16H-Dibenzo[h,q][1,7,4,10,16]dioxatriazacyclooctadecine, 7,8,9,10,17,18,19,20,21,22-decahydro-8-[(4-methylphenyl)sulfonyl]-",0.6057,M5-6
7.283,522058,"Pentasiloxane, dodecamethyl-",0.8603,M5-6
10.7905,504857,GLC-5a,0.7163,M5-6
9.1924,502226,MALONIC ACID,0.4886,M5-6
18.5243,498489,PENTACOSANE,0.7491,M5-6
8.6165,484178,[66868] porphine 1 [10.77],0.6412,M5-6
25.7492,483402,á-Sitosterol trimethylsilyl ether,0.517,M5-6
12.8919,478912,"à-D-Mannopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-",0.6786,M5-6
10.0641,469524,"Benzophenone, 2-methylamino-5-chloro-",0.4862,M5-6
18.9497,460827,"Benzenecarboximidamide, N'-[6-(2,2,2-trifluoroethoxy)-3-pyridinoyloxy]-",0.4318,M5-6
17.0606,439463,"Silane, dimethyl-2-propenyl[(6,6,9-trimethyl-3-propyl-6H-dibenzo[b,d]pyran-1-yl)oxy]-",0.5571,M5-6
17.7174,430061,"Gulose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",0.7628,M5-6
14.1372,416041,"Arabinose, 2,3,4,5-tetrakis-O-(trimethylsilyl)-",0.6445,M5-6
9.7061,410511,"2,6-Pyridinedicarboxaldehyde, 4-hydroxy-, bis[methyl(2-pyridyl)hydrazone]",0.5899,M5-6
14.6872,407876,"D-Glucuronic acid, 2,3,4,5-tetrakis-O-(trimethylsilyl)-, trimethylsilyl ester",0.6573,M5-6
6.4528,402422,"Acetic acid benzo[1,2,5]thiadiazol-4-yl ester",0.5635,M5-6
8.7721,399259,2-Pentamethyldisilyloxypropane,0.6636,M5-6
17.6173,388737,"3-Butyl-6-methyl-1,2,3,4-tetrahydro-ç-carboline",0.6146,M5-6
22.9594,379098,Eicosane,0.8346,M5-6
7.0547,378731,OXALIC ACID,0.8207,M5-6
10.4792,362032,Xylulose tetrakis(trimethylsilyl)-,0.7331,M5-6
18.074,361085,SUCROSE,0.833,M5-6
20.0381,357088,"D-Glucose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-galactopyranosyl]-2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.8073,M5-6
19.7817,352000,"Benzene, iodo-",0.7053,M5-6
7.5787,346484,"Thiazolo[4,5-f]quinoline, 2,7,9-trimethyl-",0.5498,M5-6
11.4443,344172,"Arabinitol, pentakis-O-(trimethylsilyl)-",0.7747,M5-6
19.7129,343131,"1,3-Benzenediol, 2-[5-methyl-2-(1-methylethyl)cyclohexyl]-5-pentyl-",0.4482,M5-6
12.1811,338843,D-(+)-TREHALOSE DIHYDRATE,0.5572,M5-6
10.6297,337878,"Propanedioic acid, bis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester",0.7053,M5-6
17.1795,326413,[94214] methyl-beta-D-galactopyranoside   [16.935],0.725,M5-6
17.0981,323240,"2-O-Glycerol-à-d-galactopyranoside, hexa-TMS",0.8475,M5-6
20.5761,315145,"D-Glucose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-glucopyranosyl]-2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.6952,M5-6
11.1641,313460,"D-threo-Pentonic acid, 3-deoxy-2,5-bis-O-(trimethylsilyl)-2-C-[[(trimethylsilyl)oxy]methyl]-, lactone",0.5863,M5-6
12.9334,309243,[11005] myristic acid [16.887],0.5712,M5-6
17.3046,306604,"Mannose, 6-deoxy-2,3,4,5-tetrakis-O-(trimethylsilyl)-, L-",0.6711,M5-6
12.0254,304556,"2-Keto-l-gluconic acid, penta(O-trimethylsilyl)-",0.8032,M5-6
8.2844,299341,"Naphth[2,3-b]azet-2(1H)-one, 1-phenyl-",0.5452,M5-6
17.0293,295465,"D-Glucose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-galactopyranosyl]-2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.7721,M5-6
24.1604,295106,"à-D-Glucopyranoside, 1,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-fructofuranosyl 2,3,4,6-tetrakis-O-(trimethylsilyl)-",0.7147,M5-6
9.5608,292492,"2,5-Dimethyl-4-(4-nitrophenyl)pyridine",0.4162,M5-6
12.6169,287350,"Ribo-5-Hexulosonic acid, 2,3,4,6-tetrakis-O-(trimethylsilyl)-, trimethylsilyl ester",0.6265,M5-6
10.9877,286105,4-HYDROXYBENZOIC ACID,0.6509,M5-6
6.9769,285602,"Trifluoroacetic acid, 2-tetrahydrofurylmethyl ester",0.5879,M5-6
23.8914,281499,"Eicosane, 10-methyl-",0.7545,M5-6
18.7495,280766,"à-DL-Lyxofuranoside, methyl 2,3,5-tris-O-(trimethylsilyl)-",0.557,M5-6
7.1221,258700,"Oxalic acid, monoamide, N-(3,4-dimethylphenyl)-, propyl ester",0.4225,M5-6
13.6494,258229,D-SORBITOL,0.6943,M5-6
8.9174,236479,"2-Propanone, 1-[[4-(phenylimino)-1,3-thiazetidin-2-yliden]amino]-",0.5243,M5-6
13.4782,226396,N-(2-Acetylcyclopentylidene)-4-nitroaniline,0.6049,M5-6
20.7825,225003,[192826] maltotriose 2 [30.668],0.5304,M5-6
10.3962,218909,"Hexadecanoic acid, tert-butyldimethylsilyl ester",0.6504,M5-6
17.805,215073,"1-Heptadecanol, acetate",0.8598,M5-6
19.6065,209436,"Pentacosenoic acid, 2-[(trimethylsilyl)oxy]-, methyl ester",0.4602,M5-6
20.2633,204029,"á-d-Glucopyranoside, 2-[[4-(trimethylsilyl)oxy]phenyl]ethyl, tetrakis(trimethylsilyl) ",0.607,M5-6
14.4952,199628,"Gulose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",0.6831,M5-6
18.1428,196249,Sin-3-acetoxy-6-methoxybenzo[b]quinuclidine,0.6419,M5-6
7.6877,191995,2-(4-Methoxyphenyl)-2-(4-trimethoxysilyloxy)propane,0.6541,M5-6
21.383,186445,"Benzoic acid, 2,6-bis(trimethylsiloxy)-, methyl ester",0.6309,M5-6
9.1094,185026,[(4-Nitrophenyl)methylthio]ethanoic acid,0.4278,M5-6
17.3233,179412,"D-Glucuronic acid, 2,3,4,5-tetrakis-O-(trimethylsilyl)-, trimethylsilyl ester",0.5259,M5-6
16.948,177544,Eicosane,0.8207,M5-6
20.0882,177322,"d-Glucose, 4-O-[6-deoxy-2,3,4-tris-O-(trimethylsilyl)-à-l-mannopyranosyl]-2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.5801,M5-6
19.7191,175860,"2-(4-Methoxy-phenyl)-7-oxo-7H-[1,2,4]triazolo[5,1-b][1,3]thiazine-5-carboxylic acid, methyl ester",0.5936,M5-6
9.8981,167431,1-Formyl-2-phenyl-5-methyl-pyrrole,0.4924,M5-6
6.3231,166958,Methyltris(trimethylsiloxy)silane,0.8423,M5-6
15.2904,165181,"Lyxopyranoside, methyl 2,3,4-tris-O-(trimethylsilyl)-",0.573,M5-6
21.602,163755,[122121] phytosphingosine 2 [23.812],0.5267,M5-6
22.5715,161599,"7-[2-(Ethoxycarbonyl)-3à,5á-dimethoxycyclopentyl-1]-heptanoic acid, ethyl ester",0.422,M5-6
13.8155,158143,"Benzene, 1,3-diiodo-",0.4451,M5-6
12.2745,158007,"Fructofuranoside, methyl 1,3,4,6-tetrakis-O-(trimethylsilyl)-, à-D-",0.686,M5-6
12.0929,156726,2-(4-Methoxy-phenylthio)-indan,0.4612,M5-6
9.1976,156187,"Furo[2,3-b]quinolin-4(9H)-one, 7-methoxy-9-(3-methyl-2-butenyl)-",0.6532,M5-6
8.7773,153912,"Octanoic acid, di(isopropyl)silyl ester",0.6158,M5-6
11.4858,152582,GLC-3a,0.4928,M5-6
24.9485,150820,"Glucopyranoside, O-1,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-fructofuranosyl-(2.fwdarw.1)-O-3,4,6-tris-O-(trimethylsilyl)-á-D-fructofuranosyl-(2.fwdarw.1)-3,4,6-tris-O-(trimethylsilyl)-á-D-fructofuranosyl, à-D-",0.6073,M5-6
18.0302,150816,"Eicosanoic acid, trimethylsilyl ester",0.587,M5-6
6.9924,150482,OXALIC ACID,0.7174,M5-6
11.5688,150300,"1,6-Anhydro-á-d-glucose, tris(trimethylsilyl) ether",0.7215,M5-6
22.1774,148088,MALTOSE(2),0.5329,M5-6
22.4589,145852,"2-p-Tolyl-2,3-dihydro-1H-benzo[1,3,2]diazaborole",0.4423,M5-6
23.122,143049,"Silane, dimethyl(4-phenylphenoxy)heptadecyloxy-",0.5809,M5-6
10.8683,142905,"1,2-Cyclohexanedicarboxylic acid, bis(trimethylsilyl) ester",0.6738,M5-6
12.3004,142465,"Silane, dimethyl(4-methoxyphenoxy)heptadecyloxy-",0.5971,M5-6
16.1161,139947,Eicosane,0.8055,M5-6
8.5801,138337,"1,3-Butadiyne",0.717,M5-6
10.7594,135424,"D-5-Deoxyribofuranose, 5-S-methyl-5-thio-1,2,3-tris-O-(trimethylsilyl)-",0.5953,M5-6
14.132,134844,"1,3-Benzenediol, 2-[5-methyl-2-(1-methylethyl)cyclohexyl]-5-pentyl-",0.433,M5-6
20.3822,133717,"Glucopyranose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-d-glucopyranosyl]-1,2,3,6-tetrakis-O-(trimethylsilyl)-, d-",0.6447,M5-6
11.2212,131335,"Benzene, pentafluoro[(phenylthio)methyl]-",0.5418,M5-6
25.9306,127639,"Silane, trimethyl[[(3á)-stigmasta-5,24(28)-dien-3-yl]oxy]-",0.4386,M5-6
8.3518,127630,"à-D-Mannopyranoside, methyl, cyclic 2,3:4,6-bis(phenylboronate)",0.4234,M5-6
15.7407,127365,"Anthracene, 9,10-dibutyl-9,10-dihydro-",0.6396,M5-6
6.9042,126623,Bis(dibutylamino)dichlorosilane,0.4581,M5-6
20.8576,125862,"Butanoic acid, 2-(pentafluoropropionylamino)-, isopropyl ester, D-",0.549,M5-6
15.4718,124536,Methyl 16-methyl-heptadecanoate ,0.5483,M5-6
20.8826,119640,"Estra-1,3,5(10)-trien-17-one, 2,3-bis[(trimethylsilyl)oxy]-",0.5426,M5-6
10.2716,118380,"Trimethyl(2,6 ditert.-butylphenoxy)silane",0.8615,M5-6
17.3671,118117,"(2-Methoxy-1,3,2-thiozin)[5,10,9]androstan-17-ol-3,11-dione, acetate",0.4948,M5-6
7.4594,118008,Phenyl-pentamethyl-disiloxane,0.5238,M5-6
6.6655,117692,"Propanoic acid, t-butyldimethylsilyl ester",0.5438,M5-6
12.207,116934,Methamphetamine pfp,0.5889,M5-6
11.9891,113767,[754] glycerol 1-phosphate [16.056],0.6223,M5-6
16.0848,113208,1-Diphenyl(tert-butyl)silyloxy-4-methoxybenzene,0.7525,M5-6
6.8264,112970,"Urea, N-nitroso-N-propyl-",0.5533,M5-6
18.3867,112009,Hexamethylcyclotrisilazane,0.6716,M5-6
18.8621,110769,[5988] Sucrose [23.988],0.6037,M5-6
19.4814,109434,"Silane, dimethyl(docosyloxy)undecyloxy-",0.5593,M5-6
25.3927,107963,"2,4-Cyclopentadiene-1,2,3,4-tetracarboxylic acid, 5-(2-quinolinyl)-, tetramethyl ester",0.4622,M5-6
9.9966,107815,"Fructose oxime, hexakis(trimehylsilyl)",0.5153,M5-6
9.5297,106907,"(Z,Z)-3-Methyl-3H-cyclonona(def)biphenylene",0.5841,M5-6
13.5353,103118,"L-Ascorbic acid, 2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.5937,M5-6
20.1445,100566,"D-Glucose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-glucopyranosyl]-2,3,5,6-tetrakis-O-(trimethylsilyl)-",0.5819,M5-6
25.7555,99419,[5280863] kaempferol 1 [26.86],0.7212,M5-6
10.5311,99087,"D-5-Deoxyribofuranose, 5-S-methyl-5-thio-1,2,3-tris-O-(trimethylsilyl)-",0.5839,M5-6
8.2636,98734,dl-4-Isopropyl-3-(1-carboxyethyl)-ë(4)-thiazoline-2-thione,0.5059,M5-6
25.1362,95910,"Glucopyranoside, O-1,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-fructofuranosyl-(2.fwdarw.1)-O-3,4,6-tris-O-(trimethylsilyl)-á-D-fructofuranosyl-(2.fwdarw.1)-3,4,6-tris-O-(trimethylsilyl)-á-D-fructofuranosyl, à-D-",0.5405,M5-6
18.8496,95219,"2-Pyrazoline-5-carboxylic acid, 5-hydroxy-3-methyl-1-(3-pyridinylcarbonyl)-, ethyl ester",0.5873,M5-6
21.4769,95177,"Glucopyranoside, O-1,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-fructofuranosyl-(2.fwdarw.1)-O-3,4,6-tris-O-(trimethylsilyl)-á-D-fructofuranosyl-(2.fwdarw.1)-3,4,6-tris-O-(trimethylsilyl)-á-D-fructofuranosyl, à-D-",0.4519,M5-6
8.1132,92527,"1-Chlorobenzene,-4-(4-methoxybenzylidenamino)",0.6553,M5-6
8.6943,91984,L-SERINE,0.6963,M5-6
23.441,90045,"3-Cyclohexene-1-ethanol, à-ethenyl-à,3-dimethyl-6-(1-methylethylidene)-",0.6042,M5-6
12.7778,89956,"Naphth[2,3-b]azet-2(1H)-one, 1-phenyl-",0.5127,M5-6
17.9926,89010,[192826] maltotriose 2 [30.668],0.5402,M5-6
6.4684,87466,4-Hydroxy-3-nitrobenzaldehyde,0.6939,M5-6
10.3547,87203,"1,3-Butadiyne",0.7502,M5-6
24.0603,86414,"à-D-Glucopyranoside, 1,3,4,6-tetrakis-O-(trimethylsilyl)-á-D-fructofuranosyl 2,3,4,6-tetrakis-O-(trimethylsilyl)-",0.6457,M5-6
12.8711,85700,"Pentanedioic acid, 2,4-bis[(trimethylsilyl)oxy]-, bis(trimethylsilyl) ester, (R*,S*)-",0.569,M5-6
19.9506,85650,"Hydantoin, 5-benzylidene-2-thio-",0.5818,M5-6
16.2975,85078,"1,3-Benzodioxol-5-ol, 6-[3,4-dihydro-8-methyl-8-(4-methyl-3-pentenyl)-2H,8H-benzo[1,2-b:3,4-b']dipyran-3-yl]-",0.5495,M5-6
16.1536,83477,"Benzoic acid, 4-(aminocarbonyl)-",0.8124,M5-6
14.7442,82802,"Myo-Inositol, pentakis-O-(trimethylsilyl)-",0.5141,M5-6
19.3438,81925,"Silane, dimethyl-2-propenyl[(6,6,9-trimethyl-3-propyl-6H-dibenzo[b,d]pyran-1-yl)oxy]-",0.4641,M5-6
9.7372,80149,"Methane, chloro-",0.7589,M5-6
9.9344,77648,1-Diphenyl(tert-butyl)silyloxy-4-methoxybenzene,0.6525,M5-6
20.8013,77309,"Isophthalic acid, 4-chloro-3-methylphenyl isobutyl ester",0.464,M5-6
7.6151,76033,"trans-2,3-Dimethylacrylic acid, tert-butyldimethylsilyl ester",0.7771,M5-6
16.6415,74032,[5280335] D-sphingosine  3 [22.527],0.6704,M5-6
20.9014,72253,p-Trimethylsilyloxyphenyl-bis(trimethylsilyloxy)ethane,0.483,M5-6
17.4672,69936,"18,19-Secoyohimban-19-oic acid, 16-methyl-, methyl ester, (15à,20.xi.)-",0.4754,M5-6
11.6207,67661,"5-Androsten-3á-ol-17-one, semicarbazone",0.6229,M5-6
10.2405,67448,"1,3-Butadiyne",0.6316,M5-6
7.4386,67013,"Phosphoric acid, bis(trimethylsilyl)monomethyl ester",0.7799,M5-6
10.6452,66491,"Silane, dimethylbis[(trimethylsilyl)methyl]-",0.5159,M5-6
21.896,64554,"Silane, dimethyl(octadecyloxy)propyl-",0.6031,M5-6
10.6919,64411,"[10787] benzene-1,2,4-triol [14.164]",0.6125,M5-6
22.534,64067,"Carbonic acid, dithio-, S-methyl O-(2-methylcyclohexyl) ester, cis-",0.7577,M5-6
11.2627,63808,"Phenanthro[9,10-d]oxazole, 2-methyl-",0.6188,M5-6
25.0174,63132,"3,6-Dispirocyclohexyl-1,2,3,4,5,6,7,8-octahydro-1,8-acridinedione",0.4502,M5-6
21.1766,62994,"[1,2]Dithiolo[1,5-b][1,2]oxathiole-7-siv, 2,5-diphenyl-",0.4549,M5-6
23.5348,62832,"Quinoline, 2-(phenylazo)-",0.5289,M5-6
7.6929,62487,"3-Trifluoromethylbenzylamine, N,N-dinonyl",0.5488,M5-6
18.2053,62391,"Benzenamine, N-[2-(phenylsulfonyl)ethyl]-",0.7866,M5-6
21.2454,62225,"Butanoic acid, 2-(pentafluoropropionylamino)-, isopropyl ester, D-",0.5197,M5-6
19.3751,61950,"2,6-Piperazinedione, 4-[4-(p-tolylsulfonylamino)phenyl]sulfonyl-",0.9116,M5-6
7.5113,60032,"Hexadecanoic acid, 11-hydroxy-, methyl ester",0.4078,M5-6
22.1962,57903,"Benzo[1,2-c:3,4-c':5,6-c'']tris[1,2,5]oxadiazole",0.5697,M5-6
9.9499,57864,L-ASPARTIC ACID,0.4953,M5-6
24.1479,57825,"(R)-(-)-2,2'-Bis(diphenylphosphino)-1,1'-binaphthyl",0.4998,M5-6
11.7089,57451,"1H-Indole-2,3-dione, 5-tert-butyl-1-(trimethylsilyl)-, 3-[O-(trimethylsilyl)oxime]",0.5069,M5-6
14.0645,57449,"1,3,5,7-Tetraethylcyclotetrasiloxane",0.5791,M5-6
10.1679,55458,"1,3-Butadiyne",0.7684,M5-6
26.2184,54481,"Heneicosane, 3-methyl-",0.4545,M5-6
7.7292,54032,"1,3,2-Dioxathiolane, 2-oxide",0.4617,M5-6
10.4377,52959,"17,17-Dimethyl-1,4,13(14)-androstatrien-3-one",0.6185,M5-6
15.159,52599,l-4-Isopropyl-5-methyl-3-(1-carboxyethyl)-ë(4)-thiazoline-2-thione,0.4553,M5-6
