RT,Area,Metabolite,Confidence,SampleID,plant,time,species,adonitol,nm area
6.3595,245564,"Tetrasiloxane, decamethyl-",0.8319,M4-5,4,5,ya,0.974,252119.0965
6.3595,160123,"Tetrasiloxane, decamethyl-",0.7915,M5-4,5,4,ya,0.874,183207.0938
6.3595,298701,Methyltris(trimethylsiloxy)silane,0.8824,M6-4,6,4,ya,1.01,295743.5644
6.3595,149853,"Tetrasiloxane, decamethyl-",0.8212,M7-1,7,1,yf,1.24,120849.1935
6.3595,225206,Methyltris(trimethylsiloxy)silane,0.9085,M7-4,7,4,yf,0.985,228635.533
6.3595,165541,"Tetrasiloxane, decamethyl-",0.8227,M7-5,7,5,yf,1.01,163901.9802
6.3595,255398,"Tetrasiloxane, decamethyl-",0.8267,M8-1,8,1,yf,0.94,271700
6.3595,113920,Methyltris(trimethylsiloxy)silane,0.8504,M8-2,8,2,yf,0.957,119038.6625
6.3595,199090,Methyltris(trimethylsiloxy)silane,0.8553,M9-5,9,5,yf,1.03,193291.2621
6.3595,129202,"Tetrasiloxane, decamethyl-",0.7888,M10-1,10,1,yf,1.07,120749.5327
6.3595,295469,Methyltris(trimethylsiloxy)silane,0.8817,M11-2,11,2,ya,0.933,316687.0311
6.3595,194410,Methyltris(trimethylsiloxy)silane,0.8487,M11-4,11,4,ya,0.786,247340.9669
6.3595,159735,Methyltris(trimethylsiloxy)silane,0.8419,M12-2,12,2,yf,1.17,136525.641
6.3596,184428,Methyltris(trimethylsiloxy)silane,0.8571,M2-1,2,1,yf,1.26,146371.4286
6.3596,191509,Methyltris(trimethylsiloxy)silane,0.879,M2-4,2,4,yf,0.947,202227.0327
6.3596,182545,"4-Hydroxy-butyric acid, N'-acridin-9-yl-hydrazide",0.5531,M3-2,3,2,ya,0.959,190349.3222
6.3596,249747,"Disiloxane, hexamethyl-",0.6422,M3-3,3,3,ya,1.049216459,238031.9121
6.3596,396009,Methyltris(trimethylsiloxy)silane,0.8948,M4-4,4,4,ya,0.59,671201.6949
6.3596,184896,Methyltris(trimethylsiloxy)silane,0.8597,M5-2,5,2,ya,0.945,195657.1429
6.3596,276943,Methyltris(trimethylsiloxy)silane,0.8703,M5-5,5,5,ya,0.928,298429.9569
6.3596,445626,"Tetrasiloxane, decamethyl-",0.8318,M6-1,6,1,ya,1.21,368285.9504
6.3596,488705,Methyltris(trimethylsiloxy)silane,0.9041,M6-2,6,2,ya,0.936,522120.7265
6.3596,101620,"Tetrasiloxane, decamethyl-",0.7904,M9-2,9,2,yf,1.25,81296
6.3596,180063,Methyltris(trimethylsiloxy)silane,0.8646,M12-1,12,1,yf,1.11,162218.9189
6.3596,237143,Methyltris(trimethylsiloxy)silane,0.8751,M12-4,12,4,yf,0.947,250414.9947
6.3645,183961,"Tetrasiloxane, decamethyl-",0.8176,M10-5,10,5,yf,0.73,252001.3699
6.3646,163502,"Tetrasiloxane, decamethyl-",0.7993,M1-1,1,1,ya,1.05,155716.1905
6.3646,62845,"2,3-Dihydrothieno[3,4-b][1,4]dioxine-5-carboxylic acid, (3-chlorophenyl)amide",0.8015,M7-2,7,2,yf,1.23,51093.49593
6.3647,458587,"Tetrasiloxane, decamethyl-",0.8425,M3-4,3,4,ya,0.926,495234.3413
6.3647,60803,1-[(Trimethylsilyl)oxy]-2-methylanthraquinone,0.6751,M9-4,9,4,yf,0.874,69568.64989
6.3648,102651,Allyl(ethyl)sulfide,0.95,M2-3,2,3,yf,1.027223171,99930.57291
6.3648,161433,"Tetrasiloxane, decamethyl-",0.7933,M8-4,8,4,yf,1.01,159834.6535
6.37,740564,"Tetrasiloxane, decamethyl-",0.8796,M6-6,6,6,ya,0.872489243,848794.4187
6.375,2213,"Pentanenitrile, 3,5-dihydroxy-3-methyl",0.556,M5-1,5,1,ya,0.973,2274.409044
6.3751,570191,"Tetrasiloxane, decamethyl-",0.7936,M2-6,2,6,yf,1.073152649,531323.2938
6.3751,4711,"Phenylacetic acid, 2,2,3,3,4,4,4-heptafluorobutyl ester",0.6375,M4-5,4,5,ya,0.974,4836.755647
6.3751,11969,"4-Ethylbenzoic acid, tridec-2-ynyl ester",0.6509,M11-5,11,5,ya,0.976,12263.31967
6.3752,5895,Dichloroacetic anhydride,0.6601,M9-1,9,1,yf,1.08,5458.333333
6.3752,208057,N-Methyl-D-aspartic acid,0.6003,M12-3,12,3,yf,1.069914829,194461.2734
6.3801,4157,"Phenylacetic acid, 2,2,3,3,4,4,4-heptafluorobutyl ester",0.6698,M1-1,1,1,ya,1.05,3959.047619
6.3801,2748,"trans-3-Trifluoromethylcinnamic acid, 3,4-dichlorophenyl ester",0.675,M3-1,3,1,ya,0.949,2895.679663
6.3802,576690,"Phthalic acid, monoethyl ester",0.5234,M9-6,9,6,yf,1.067246333,540353.2268
6.3803,16294,"2(3H)-Furanone, dihydro-5-(2-octenyl)-, (Z)-",0.6506,M8-2,8,2,yf,0.957,17026.1233
6.3803,1802,"Naphtho[1,2-d]-1,3-dioxole, 2-acetyl-2-methyl-",0.5123,M10-1,10,1,yf,1.07,1684.11215
6.3803,4284,"3H-Pyrazol-3-one, 2,4-dihydro-4,5-dimethyl-",0.5864,M11-1,11,1,ya,1.05,4080
6.3803,54323,"l-Alanine, N-methoxycarbonyl-, ethyl ester",0.7642,M11-3,11,3,ya,1.052280991,51624.04383
6.3804,5954,"3-Cyano-2,5-dimethylpyrazine",0.8955,M2-1,2,1,yf,1.26,4725.396825
6.3804,18109,"Carbamothioic acid, O-butyl ester",0.7879,M2-4,2,4,yf,0.947,19122.49208
6.3854,12924,9-Hydroxyphenothiazine,0.5071,M6-4,6,4,ya,1.01,12796.0396
6.3854,182287,"Pentanamide, N-(aminocarbonyl)-",0.6979,M12-6,12,6,yf,0.921003676,197922.12
6.3855,5096,"2(1H)-Pyridinone, 3-hydroxy-",0.5246,M1-4,1,4,ya,0.736,6923.913043
6.3855,10066,Cyclopropylacetonitrile,0.5587,M4-5,4,5,ya,0.974,10334.70226
6.3856,20443,"1,2-Benzenediol, o-(2-bromopropionyl)-o'-(4-ethylbenzoyl)-",0.6973,M5-2,5,2,ya,0.945,21632.80423
6.3905,147090,"15-Oxo-6,7,8,9,10,15-hexahydrobenzo[d][1]benzothieno[2,3-g]azecine-8-carbonitrile",0.547,M1-3,1,3,ya,1.130067207,130160.4003
6.3906,3885,4-Amino-5-imidazolecarboxamide hydrochloride,0.5394,M5-4,5,4,ya,0.874,4445.080092
6.3906,25138,"2-Methyl-2-tert-butyl-1,3-dithiane",0.7362,M10-2,10,2,yf,0.923,27235.10293
6.3907,105350,"1,4-Oxathiepan-2-one, 3,3-dimethyl-",0.5945,M2-3,2,3,yf,1.027223171,102558.0448
6.3908,53905,"1,4-Oxathiin-3-carboxylic acid, 5,6-dihydro-2-methyl-",0.574,M3-6,3,6,ya,0.902066748,59757.21878
6.3908,197452,"15-Oxo-6,7,8,9,10,15-hexahydrobenzo[d][1]benzothieno[2,3-g]azecine-8-carbonitrile",0.686,M7-3,7,3,yf,1.165711342,169383.2708
6.3957,18995,1H-Benzimidazol-5-amine,0.6888,M8-5,8,5,yf,1.19,15962.18487
6.3959,11121,"Benzene, ethylpentamethyl-",0.5636,M2-1,2,1,yf,1.26,8826.190476
6.3959,8856,"2-Hydroxy-3,5-dimethylcyclopent-2-en-1-one",0.5152,M2-5,2,5,yf,0.825,10734.54545
6.3959,2797,"1H-Pyrazol-4-amine, 3,5-dimethyl-",0.7762,M4-1,4,1,ya,1.32,2118.939394
6.396,4592,"N,N'-Bis[2,6-dimethylpiperidino]terephthalamide",0.5779,M3-2,3,2,ya,0.959,4788.321168
6.396,24432,"Thiophene, 2,2'-(1,1,2,2,3,3,4,4,5,5-decafluoro-1,5-pentanediyl)bis-",0.6458,M6-1,6,1,ya,1.21,20191.73554
6.396,16186,"Propanoic acid, 2,3-dichloro-",0.5329,M9-2,9,2,yf,1.25,12948.8
6.4009,70522,"Methanimine, 1-(1,4,4-trimethyl-2-tetrazenyl)-",0.7597,M9-6,9,6,yf,1.067246333,66078.46548
6.401,75276,Dihydro-2-(3H)-thiophenone,0.8489,M2-6,2,6,yf,1.073152649,70144.7274
6.401,1476,Methanesulfinyl chloride,0.5897,M11-5,11,5,ya,0.976,1512.295082
6.4011,7552,"5-Oxotetrahydrofuran-2-carboxylic acid, methyl ester",0.5835,M4-4,4,4,ya,0.59,12800
6.4011,10016,"3-Cyano-2,5-dimethylpyrazine",0.8392,M6-2,6,2,ya,0.936,10700.8547
6.4011,79995,"1,2-Benzenediol, o-(2-bromopropionyl)-o'-(4-ethylbenzoyl)-",0.6149,M7-4,7,4,yf,0.985,81213.19797
6.4011,1279,"1-Pentanol, 4-methyl-2-methylene-",0.8102,M11-1,11,1,ya,1.05,1218.095238
6.4061,22000,"Ethyl 2,4-dioxovalerate",0.5647,M1-2,1,2,ya,1.02,21568.62745
6.4061,8302,"4-Ethylbenzoic acid, 2-formyl-4,6-dichlorophenyl ester",0.7475,M3-1,3,1,ya,0.949,8748.155954
6.4061,472612,Phenylmaleic anhydride,0.5954,M4-3,4,3,ya,1.08069455,437322.461
6.4061,32467,"2-Methyl-2-tert-butyl-1,3-dithiane",0.8704,M5-1,5,1,ya,0.973,33367.93422
6.4061,162117,"Thieno[3,2-e]benzofuran",0.6205,M10-3,10,3,yf,0.904217838,179289.761
6.4062,25179,3-Hydroxy-4-methylbenzaldehyde,0.5691,M8-1,8,1,yf,0.94,26786.17021
6.4063,114413,"l-Alanine, N-methoxycarbonyl-, hexadecyl ester",0.6488,M3-3,3,3,ya,1.049216459,109046.1353
6.4063,4196,Adenine,0.5679,M12-4,12,4,yf,0.947,4430.834213
6.4113,25840,"2-Methyl-2-hexyl-1,3-dithiane",0.515,M1-5,1,5,ya,1.08,23925.92593
6.4113,20716,"2-Methyl-2-tert-butyl-1,3-dithiane",0.7393,M4-2,4,2,ya,1.09,19005.50459
6.4113,2625,Benzofenac methyl ester,0.706,M12-5,12,5,yf,1.01,2599.009901
6.4114,146534,"1,4-Oxathiepan-2-one, 3,3-dimethyl-",0.6329,M4-6,4,6,ya,1.134936486,129112.0708
6.4114,19469,"1,2-Benzenediol, o-(4-ethylbenzoyl)-",0.7319,M8-1,8,1,yf,0.94,20711.70213
6.4114,92833,"Propiolic acid, 3-phenyl-, methyl ester",0.5665,M8-3,8,3,yf,0.958779423,96824.14717
6.4114,15902,"Benzene, 1-fluoro-4-methyl-",0.5899,M9-5,9,5,yf,1.03,15438.83495
6.4115,53218,"4-Ethylbenzoic acid, 3-methylphenyl ester",0.6122,M6-1,6,1,ya,1.21,43981.81818
6.4165,21071,2-Isobornyloxy-tetrahydropyran,0.6707,M3-1,3,1,ya,0.949,22203.37197
6.4165,12706,"4-Ethylbenzoic acid, tridec-2-ynyl ester",0.652,M10-4,10,4,yf,1.05,12100.95238
6.4165,68919,Phenylmaleic anhydride,0.61,M10-6,10,6,yf,1.004145856,68634.45146
6.4166,7789,"2,3-Naphthalenediol",0.512,M1-4,1,4,ya,0.736,10582.88043
6.4166,36992,"1,2-Benzenediol, o-(2-bromopropionyl)-o'-(4-ethylbenzoyl)-",0.6569,M4-5,4,5,ya,0.974,37979.46612
6.4167,21697,"2-Methyl-2-tert-butyl-1,3-dithiane",0.6667,M2-4,2,4,yf,0.947,22911.29884
6.4167,21584,"1,3-Benzenediol, O-(3-cyclopentylpropionyl)-O'-(4-ethylbenzoyl)-",0.6087,M5-5,5,5,ya,0.928,23258.62069
6.4167,17574,"4-Ethylbenzoic acid, 3-methylphenyl ester",0.6388,M8-4,8,4,yf,1.01,17400
6.4167,148843,Methyltris(trimethylsiloxy)silane,0.6205,M11-6,11,6,ya,0.703655099,211528.347
6.4216,15390,"Butanethioic acid, 3-oxo-, S-propyl ester",0.6736,M1-1,1,1,ya,1.05,14657.14286
6.4217,6545,"Ethyl 2-methyl-1,3-benzodioxole-2-ethanoate",0.587,M6-5,6,5,ya,0.964,6789.419087
6.4218,24856,"Cyclopenta[e]tetrahydropyran-2-one, 5-(5-hydroxyindan-1-yl)-4a-methyl-",0.541,M11-5,11,5,ya,0.976,25467.21311
6.4218,3440,"2-Methyl-2-tert-butyl-1,3-dithiane",0.7503,M12-1,12,1,yf,1.11,3099.099099
6.4219,139494,"Tetrasiloxane, decamethyl-",0.5993,M2-3,2,3,yf,1.027223171,135797.1704
6.4219,53044,"15-Oxo-6,7,8,9,10,15-hexahydrobenzo[d][1]benzothieno[2,3-g]azecine-8-carbonitrile",0.5834,M5-3,5,3,ya,1.117931054,47448.36438
6.4268,70138,"erythro-8-(1,2-Dibromo-2-phenylethyl)-3,7-dihydro-1,3,7-trimethyl-1H-purine-2,6-dione",0.691,M1-3,1,3,ya,1.130067207,62065.33519
6.4269,1549,"Propanedioic acid, (1-methylbutyl)-, diethyl ester",0.5861,M2-2,2,2,yf,1.01,1533.663366
6.4269,523566,[8871] 2-hydroxypyridine [6.519],0.681,M10-3,10,3,yf,0.904217838,579026.4006
6.4269,14175,"Cyclopenta[e]tetrahydropyran-2-one, 5-(5-hydroxyindan-1-yl)-4a-methyl-",0.631,M12-2,12,2,yf,1.17,12115.38462
6.427,11089,"Adipic acid, di(3-pentyl) ester",0.5374,M9-4,9,4,yf,0.874,12687.64302
6.427,16382,"1,2-Benzenediol, o-(2-chloropropionyl)-o'-(4-ethylbenzoyl)-",0.7127,M10-1,10,1,yf,1.07,15310.28037
6.427,148395,"Tetrasiloxane, decamethyl-",0.6625,M11-3,11,3,ya,1.052280991,141022.2187
6.4271,282573,"Tetrasiloxane, decamethyl-",0.678,M12-3,12,3,yf,1.069914829,264107.9387
6.4321,730688,Methyl 2-[methoxy(methyl)amino]-2-methylpropanoate  #,0.6065,M9-3,9,3,yf,1.046478288,698235.2221
6.4322,19505,"4-Ethylbenzoic acid, 2-formyl-4,6-dichlorophenyl ester",0.6237,M12-4,12,4,yf,0.947,20596.62091
6.4323,506898,"Tetrasiloxane, decamethyl-",0.5832,M5-3,5,3,ya,1.117931054,453425.1
6.4323,4730,"4H-1-Benzopyran-4-one, 6-hydroxy-2-methyl-",0.5365,M9-2,9,2,yf,1.25,3784
6.4372,166893,[8871] 2-hydroxypyridine [6.519],0.858,M4-3,4,3,ya,1.08069455,154431.2406
6.4372,1486,"Ethanedioic acid, dimethyl ester",0.7743,M5-1,5,1,ya,0.973,1527.235355
6.4372,186407,Acenaphthylene,0.6646,M6-3,6,3,ya,0.991329883,188037.3055
6.4373,6483,"Pyrazine, 3-ethyl-2,5-dimethyl-",0.5097,M1-5,1,5,ya,1.08,6002.777778
6.4373,5349,"3,5-Heptadiyn-2-one",0.586,M7-2,7,2,yf,1.23,4348.780488
6.4374,8559,5-Methyl-2-(3-cyclopropyl-4-oxo-propenyl)furan,0.5441,M5-5,5,5,ya,0.928,9223.060345
6.4374,31475,"Propanedioic acid, diethyl ester",0.5241,M9-1,9,1,yf,1.08,29143.51852
6.4374,1750,"Benzenamine, 4-propyl-",0.637,M12-4,12,4,yf,0.947,1847.940866
6.4375,505724,[8871] 2-hydroxypyridine [6.519],0.7083,M7-3,7,3,yf,1.165711342,433832.9582
6.4424,84802,"Thiophene, 2,2'-(1,1,2,2,3,3,4,4,5,5-decafluoro-1,5-pentanediyl)bis-",0.6967,M8-5,8,5,yf,1.19,71262.18487
6.4424,5660,"Furane-2-carboxaldehyde, 5-(4-nitrophenoxymethyl)-",0.5972,M12-5,12,5,yf,1.01,5603.960396
6.4425,1249,"2,6-Piperidinedione, 3-ethyl-",0.7934,M2-2,2,2,yf,1.01,1236.633663
6.4425,583094,"Tetrasiloxane, decamethyl-",0.7096,M4-6,4,6,ya,1.134936486,513767.957
6.4426,665435,[8871] 2-hydroxypyridine [6.519],0.8922,M2-3,2,3,yf,1.027223171,647799.8342
6.4426,30187,6-(3-Bromopropyl)-2(1H)-pyridinone,0.5882,M10-1,10,1,yf,1.07,28212.14953
6.4475,28515,Chlorodifluoroamine,0.5805,M10-5,10,5,yf,0.73,39061.64384
6.4476,2279,"1-Propanone, 1-(4-cycloocten-1-yl)-",0.929,M1-1,1,1,ya,1.05,2170.47619
6.4476,346024,[8871] 2-hydroxypyridine [6.519],0.7366,M10-6,10,6,yf,1.004145856,344595.3573
6.4477,191031,"Tetrasiloxane, decamethyl-",0.7363,M1-6,1,6,ya,1.065342613,179314.1453
